keys,en_us
SONIA_TAUNT_7,"What about the age-old tradition, \"finders keepers losers weepers?\""
SONIA_TAUNT_8,"What about the immense POWER I now hold over you?!?!`"
SONIA_TAUNT_9,"Haha, okay, I think you get it. Goodbye, have fun dying! ~`"

SONIA_PRE_FIGHT_1,"Haha wow, back already? I didn't know you were such a fan~`"
SONIA_PRE_FIGHT_2,"Honestly, I think it's kinda cute that you want to fight me so bad."
SONIA_PRE_FIGHT_3,"It's cute how, despite these plants breaking MY tower, you think you're the victim here."
SONIA_PRE_FIGHT_4,"Most of all, it's cute how you think you stand any chance at all.`"
SONIA_PRE_FIGHT_5,"Hehehe, it'll be so rewarding to take the last of your power for GOOD``"
SONIA_POST_FIGHT_1,"Heh."
SONIA_POST_FIGHT_2,"Hahahaha."
SONIA_POST_FIGHT_3,"AHAHAHAHAHA!!!!!!!"
SONIA_POST_FIGHT_4,"You thought you BEAT ME? You thought you WON?!?`"
SONIA_POST_FIGHT_5,"Don't you SEE?! I can just BURROW forever! GOOD LUCK GETTING ME HERE, BOZO!!"
SONIA_POST_FIGHT_6,"wait whats that"
SONIA_POST_FIGHT_7,"(Somewhere, from above, or maybe below? A voice echoes...)"
# This line is spoken by the Big Green plant, not Sonia
SONIA_POST_FIGHT_8,"Hm? Echo, are you there? Sorry if I'm late, I didn't realize you were fighting."
SONIA_POST_FIGHT_9,"I caught her digging around a lot. I hope I helped."

BIG_BLUE_PRE_FIGHT_1,"Hm? Is somebody there?"
BIG_BLUE_PRE_FIGHT_2,"Oh, a dragon. Hello."
BIG_BLUE_PRE_FIGHT_3,"I've felt your presence for some time. You are a friend."
BIG_BLUE_PRE_FIGHT_4,"You appear to be stuck as well. Let me lend you a hand."
BIG_BLUE_PRE_FIGHT_5,"The mole wants to destroy our home. Sonia is her name."
BIG_BLUE_PRE_FIGHT_6,"She digs the caverns bare, all for worthless pyrite."
BIG_BLUE_PRE_FIGHT_7,"If you are able, please stop her."
BIG_BLUE_POST_FIGHT_1,"Hm? Who is there?"
BIG_BLUE_POST_FIGHT_2,"Dragon? Oh, welcome. I didn't recall you being so... large."
BIG_BLUE_POST_FIGHT_3,"You defeated Sonia? Amazing! Though, I hardly think eating her was needed."
BIG_BLUE_POST_FIGHT_4,"Hm? You gained weight for other reasons? Ah well."
BIG_BLUE_POST_FIGHT_5,"If Sonia is gone, then I do hope that handsome wolf with the hammer takes charge."
BIG_BLUE_POST_FIGHT_6,"He seems the most responsible. He understands the power of a proper curse."

BIG_GREEN_PRE_FIGHT_1,"Oh? Hello, little dragon."
BIG_GREEN_PRE_FIGHT_2,"I do wish we could meet under happier circumstances, but I am glad to meet regardless."
BIG_GREEN_PRE_FIGHT_3,"This cavern used to be an underground forest, but that horrid mole has been digging up our roots."
BIG_GREEN_PRE_FIGHT_4,"Were it not for her, we would be in a golden age!"
BIG_GREEN_PRE_FIGHT_5,"...Hm? You are chasing the same mole as well? She stole your powers?"
BIG_GREEN_PRE_FIGHT_6,"Well, if our interests align, perhaps I can lend you what energy I have left."
BIG_GREEN_PRE_FIGHT_7,"Our flowers grant flight to those who touch them."
BIG_GREEN_PRE_FIGHT_8,"Their powers are weakened, and your mass may also prove an issue, but they may still help."
BIG_GREEN_PRE_FIGHT_9,"The mole's hideout is atop this tower. If you wish to reach it, you will need more help."
BIG_GREEN_PRE_FIGHT_10,"Seek out my sisters, red and blue in hue, deeper in these caverns. They can help more."
BIG_GREEN_PRE_FIGHT_11,"Thank you, kind dragon."
BIG_GREEN_POST_FIGHT_1,"My apologies again for missing the fight. I hadn't realized the others were there."
BIG_GREEN_POST_FIGHT_2,"I'm glad I could've helped out in the end, at least."
BIG_GREEN_POST_FIGHT_3,"And you must admit, my contribution was... how you say, \"bad of ass?\""
BIG_GREEN_POST_FIGHT_4,"I did kind-of save the day at the last second with that one, you must admit."
BIG_GREEN_POST_FIGHT_5,"Of course, I should thank you, too! My roots are safe now. And I found more, too!"
BIG_GREEN_POST_FIGHT_6,"Like this rectangle I found in Sonia's pocket. I'm told it's called a \"crebit card.\" Exciting!"

BIG_RED_PRE_FIGHT_1,"Oh thank Gaia, someone to TALK TO!"
BIG_RED_PRE_FIGHT_2,"Look, don't question the life decisions that got me stuck down here, just know I regret them."
BIG_RED_PRE_FIGHT_3,"I was trying to get away from this dumb mole that was destroying my roots, and now I'm here."
BIG_RED_PRE_FIGHT_4,"I hate it here! It's too dry and I don't like seafood! ...But it does beat dying."
BIG_RED_PRE_FIGHT_5,"Huh? You're trying to stop that same mole?"
BIG_RED_PRE_FIGHT_6,"Hell yeah, cheers!"
BIG_RED_PRE_FIGHT_7,"Hey, come let me know when you've kicked her ass, okay?"
BIG_RED_PRE_FIGHT_8,"Bring someone who can help dig me out, too. But someone who won't give me a hard time about it."
BIG_RED_PRE_FIGHT_9,"Oh!! Snacks too! There is NOBODY down here to eat!"
BIG_RED_POST_FIGHT_1,"Whoa hey, you did it?!"
BIG_RED_POST_FIGHT_2,"That's great news! I can finally leave this dumb hole and rejoin my sisters!"
BIG_RED_POST_FIGHT_3,"...You did remember to find someone to help out right"
BIG_RED_POST_FIGHT_4,"Eh, at least I got SOME of the food situation figured out. Some crabs like wandering down here."
BIG_RED_POST_FIGHT_5,"It's not much, but...\n\nOkay I can't front get me out of here asap"

# Keep the %d and the $0.00%03d, those get replaced with the pyrite the player has
MINE_WORM_1,"You must be a new miner, eh? Lucky for you, we've struck riches!"
MINE_WORM_2,"'Course, I can't mine it up myself, having no arms."
MINE_WORM_3,"Looks like the treasure is all yours, friend!"
MINE_WORM_R_1,"Oho! Looks like you've got something!"
MINE_WORM_R_2,"You have %d pyrite chunks? That translates to about... $0.00%03d Craterian dollars!"
MINE_WORM_R_3,"A hard day's work really does pay off, doesn't it?"
MINE_WORM_FULL_1,"What's that? You can't hold more than 500 chunks of Pyrite?"
MINE_WORM_FULL_2,"That's a shame. I was gonna sell my really cool hat for 750!"


SWORD_SPIRIT_INTRO_1,"Oh, joyous day, joyous day! A new Hero has arisen!"
SWORD_SPIRIT_INTRO_2,"Greetings, my corpulent savior! I am the ~Spirit of the Sword~!"
SWORD_SPIRIT_INTRO_3,"I am here to guide you through your quest to-"
SWORD_SPIRIT_INTRO_4,"Wait where's the sword"
SWORD_SPIRIT_INTRO_5,"Y-you broke it."
SWORD_SPIRIT_INTRO_6,"YOU SAT ON THE STONE OF THE SWORD AND BROKE IT."
SWORD_SPIRIT_INTRO_7,"YOU ABSOLUTE FATAAAaantastic Hero of Legend! JOYOUS day INDEED!"
SWORD_SPIRIT_INTRO_8,"I didn't think a fat ass could break my entire afterlife's PURPOSE, but WHAT DO I KNOW!"
SWORD_SPIRIT_INTRO_9,"...\nExcuse me, I need to collect my thoughts. And my SWORD."

SWORD_SPIRIT_FIRST_CHAT_1,"HHHHHHH-Hello, my Hefty Hero of Legend! It's me, the Spirit of the Sword!"
SWORD_SPIRIT_FIRST_CHAT_2,"I must say, the power of your weight is impressive! You broke the sword clean in half!"
SWORD_SPIRIT_FIRST_CHAT_3,"That's cool. I'm really okay with that. No really, it's fine. Really."
SWORD_SPIRIT_FIRST_CHAT_4,"Aaaaanyways, in its current state, the sword is kinda useless. But I have an idea."
SWORD_SPIRIT_FIRST_CHAT_5,"I'll let you take one half on your quest, and I'll keep the other half safe!"
SWORD_SPIRIT_FIRST_CHAT_6,"(After all, you never know when some fatass will just crush swords nowadays...)"
SWORD_SPIRIT_FIRST_CHAT_7,"Then if you ever change your mind, you can come back and swap them!"
SWORD_SPIRIT_FIRST_CHAT_8,"If you take the blade half, you can... I dunno, cut enemies with it, deal some more damage?"
SWORD_SPIRIT_FIRST_CHAT_9,"The hilt will... give you more range or something, maybe?"
SWORD_SPIRIT_FIRST_CHAT_10,"Honestly I don't care at this point. Just take one."
SWORD_SPIRIT_OPT_BLADE,"Blade"
SWORD_SPIRIT_OPT_HILT,"Hilt"
SWORD_SPIRIT_FIRST_CHAT_11,"A great choice, probably! Be sure not to sit on it this time."

SWORD_SPIRIT_R_1,"Hello again, Hero of Legend! You're looking... well fed!"
SWORD_SPIRIT_R_2,"Did you want to swap your sword piece?"
SWORD_SPIRIT_OPT_SWAP_BLADE,"I want the blade"
SWORD_SPIRIT_OPT_SWAP_HILT,"I want the hilt"
SWORD_SPIRIT_R_NO,"N-no?! What,  were you just wanting to chat or something??"
SWORD_SPIRIT_R_NO_NO,"Then why did you come here??"
SWORD_SPIRIT_R_CHAT_1,"Oh, you were."
SWORD_SPIRIT_R_CHAT_2,"Well that's unfortunate."


DEMO_THANKS,"End of Demo\nThanks for Playing!"
DEMO_1,"Hello sorry. I am the Detour-Envoking Motionless Orbee."
DEMO_2,"Unfortunately, I will not let you past this point."
DEMO_3,"I mean, I would love to. But it's impossible. I'm too $!*damn fat to move"
DEMO_R_1,"I dunno what's behind me, but it's really cool."
DEMO_R_2,"And by cool, I mean cold. I think I have hypothermia"
NOT_DEMO_1,"Hello sorry. I'm not the Detour-Envoking Motionless Orbee."
NOT_DEMO_2,"I was gifted size and thought from my creator."
NOT_DEMO_3,"She told me things most strange. That I must block the \"truth.\""
NOT_DEMO_4,"Now I am \"stuck.\" In middle of the \"path.\" Goodbye."
NOT_DEMO_R_1,"You want it. The \"truth.\" Not of this world, but another."
NOT_DEMO_R_2,"She said the road beyond is incomplete. Will it ever be complete? Unknown."
NOT_DEMO_R_3,"Perhaps, if you find your way on another plane, you can get past."
NOT_DEMO_R_4,"Another plane. Another world. Another dimension."
NOT_DEMO_R_5,"Ha ha... it sounds impossible."
NOT_DEMO_R_6,"...But when has something impossible ever stopped you?"

NIMBUS_SPEECH_1,"...Missing something?"
NIMBUS_SPEECH_2,"I heard the stories. Everyone has. A dragon of endless mass, but a body of pure energy."
NIMBUS_SPEECH_3,"No matter... except for an artifact for a heart."
NIMBUS_SPEECH_4,"Don't worry. I don't want to steal your heart. This is useless for me."
NIMBUS_SPEECH_5,"Just, let this be a warning. This is what happens if you come after me."


SPOREMOTHER_INTRO_1,"Hello, hello. I am Sporemother."
SPOREMOTHER_INTRO_2,"The other is Sporemother too. Perhaps we are all Sporemother."
SPOREMOTHER_INTRO_3,"Our hyphae reach across the entire valley. We see, feel, know all. Including you, Echo."
SPOREMOTHER_INTRO_4,"We know things that would help you. We can share our knowledge, for a price."
SPOREMOTHER_OPT_NO_NO_NO,"No No No No No"
SPOREMOTHER_OPT_ELABORATE,"Elaborate"
SPOREMOTHER_ELABORATE_1,"Hm, suspicious. Of course."
SPOREMOTHER_ELABORATE_2,"To access our knowledge, you will need to watch a young sporeling."
SPOREMOTHER_ELABORATE_3,"Give an offering, some energy, and it will tell you everything."
SPOREMOTHER_ELABORATE_4,"Do you wish to help?"
SPOREMOTHER_YES_1,"Wonderful. We knew you would."
SPOREMOTHER_YES_2,"Be careful, it hungers."
SPOREMOTHER_YES_MUSH_1,"Oh! You have MUSH-MEAL!"
SPOREMOTHER_YES_MUSH_2,"We knew you to be a great host. You have arrived quite prepared."
SPOREMOTHER_YES_3,"Take care of it, now."
SPOREMOTHER_NO_1,"Hm, a shame."
SPOREMOTHER_NO_2,"We will be here when you change your mind."

SPOREMOTHER_R_WITH_1,"It's wonderful to see you! It looks like it's growing quite well, too."
SPOREMOTHER_R_WITH_2,"You've been a wonderful host. I hope the knowledge has been kind to you."
SPOREMOTHER_R_WITH_3,"How have been things?"
SPOREMOTHER_OPT_REMOVE_NO_MUSH,"Please take it off"
SPOREMOTHER_OPT_KEEP_NO_MUSH,"It's... great"
SPOREMOTHER_KEEP_NO_MUSH_1,"Wonderful. I'm glad it has been treating you so well."
SPOREMOTHER_KEEP_NO_MUSH_2,"The last host was less capable. Your fatty frame has proven far better."
SPOREMOTHER_REMOVE_NO_MUSH_1,"Hm? You want it removed? A shame."
SPOREMOTHER_REMOVE_NO_MUSH_2,"Oh well. Better no host than a resistant one."
SPOREMOTHER_REMOVE_NO_MUSH_3,"It looks extremely well-fed in your care. I pray you will return at some point."

SPOREMOTHER_R_WITH_MUSH_1,"It's wonderful to see you! It seems to be enjoying that MUSH-MEAL as well."
SPOREMOTHER_R_WITH_MUSH_2,"We have been so lucky to have a responsible host like you."
SPOREMOTHER_OPT_KEEP_MUSH,"It's great!"
SPOREMOTHER_OPT_REMOVE_MUSH,"Here, take it back"
SPOREMOTHER_KEEP_MUSH_1,"The last host was less capable. Your feeding regimen has proven far better."
SPOREMOTHER_REMOVE_MUSH_1,"Hm? You don't want to have it anymore? Even with the MUSH-MEAL?"
SPOREMOTHER_REMOVE_MUSH_2,"Oh, I know what is happening. You need not say more."
SPOREMOTHER_REMOVE_MUSH_3,"You must have a date with another Sporecap, and wish to give them the MUSH-MEAL as a gift."
SPOREMOTHER_REMOVE_MUSH_4,"Of course, of course. We can take the sporeling back for now."
SPOREMOTHER_REMOVE_MUSH_5,"We hope your romantic pursuits succeed as well as your parenting, Echo."

SPOREMOTHER_R_WITHOUT,"Have you changed your mind? Will you take our knowledge?"


CRATER_WORK_MICE,"They're hard at work."
CRATER_WORK_MICE_R,"You don't know what they're doing, but they're doing a great job."

SONIA_REFIGHT_HINT_1,"There is a sign hidden in the crevice. "
SONIA_REFIGHT_HINT_2,"The only words you can make out are \"How to access my secret Second Office.\""
SONIA_REFIGHT_HINT_3,"Perhaps if you could get closer to the sign, you could learn the secret..."
SONIA_REFIGHT_SIGN_1,"\"How to access my secret Second Office\""
SONIA_REFIGHT_SIGN_2,"\"Like I'd tell YOU! AHAHAHAHA!!!!!\n\nLove, Sonia~`\""
SONIA_REFIGHT_SIGN_3,"(...You get the feeling you have everything you need without her help.)"

HILLS_SECRET,"...?? You see a path behind a thicket of branches, perfectly out of range..."
