key,en_us
AFFAMAE_NO_TASTE_3,"...Even so, you should eat. I can't have you slimming down on me."
AFFAMAE_FEEDER_1,"Wh-huh~??"
AFFAMAE_FEEDER_2,"I mean, I appreciate the thoughts, truly~!"
AFFAMAE_FEEDER_3,"However, I've always been one for mutual fattening~"
AFFAMAE_WEIGHT_4_5,"Here, take some. We can share."
AFFAMAE_WEIGHT_4_6,"Mhm, it tastes better eating with a friend~"
AFFAMAE_WEIGHT_4_7,"If you do happen across any more, let me know. I'd love to share it with you."
AFFAMAE_WEIGHT_5_1,"You're taking some too, right?"
AFFAMAE_WEIGHT_5_2,"...Hrm. There's something that's been stuck in my mind."
AFFAMAE_WEIGHT_5_3,"You've brought me so much food. And with that, I've been able to locate your powers."
AFFAMAE_WEIGHT_5_4,"However, on the very edge of my senses, I swear I feel even more."
AFFAMAE_WEIGHT_5_5,"Guess I need to keep eating until I can locate it proper, huh?"
AFFAMAE_WEIGHT_5_6,"Hm... it's large. Leagues greater than what the others took."
AFFAMAE_WEIGHT_5_7,"It's almost as if they're trying to hide it from me..."
AFFAMAE_WEIGHT_5_8,"They must really want to keep it, huh?"

AFFAMAE_HINT_EDGAR_1,"Now that you've helped me eat, it's only fair I help you!"
AFFAMAE_HINT_EDGAR_2,"The first shard of your energy is close... yet far. Due east of here, in that burning cavern."
AFFAMAE_HINT_EDGAR_3,"You'll need to enter from below to reach the thief, but he should pose little threat."
AFFAMAE_HINT_EDGAR_4,"Let me mark his lair on the map."
AFFAMAE_HINT_EDGAR_5,"I wish you luck, Echo! May you get to feast as well!"
AFFAMAE_HINT_SONIA_1,"Your next shard of energy is underground. Also not far."
AFFAMAE_HINT_SONIA_2,"However, the mole with your power seems to have dug a labrynth."
AFFAMAE_HINT_SONIA_3,"You might need to dig down to dig back up, my friend... Good luck."
AFFAMAE_HINT_SONIA_4,"Let me mark her lair on the map."
AFFAMAE_HINT_SONIA_5,"Return to me stronger and softer, fellow beast!"
AFFAMAE_HINT_NIMBUS_1,"This time, your thief has climbed up. Above your very own cave, in fact! How rude!"
AFFAMAE_HINT_NIMBUS_2,"They appear to be a goat. No wonder they could climb at that size..."
AFFAMAE_HINT_NIMBUS_3,"Your own weight may make the ascent dangerous. Tread carefully."
AFFAMAE_HINT_NIMBUS_4,"Let me mark their lair on the map."
AFFAMAE_HINT_NIMBUS_5,"Stay safe! Don't topple the forest with your weight!"
AFFAMAE_HINT_CHARLE_1,"Your next shard is down. Deep, deep, deep, deep down..."
AFFAMAE_HINT_CHARLE_2,"Good hell, how deep did they go?! Either your power is that good, or they are that heavy..."
AFFAMAE_HINT_CHARLE_3,"...They aren't alone. This place makes my fur stand on end. It seems... wrong."
AFFAMAE_HINT_CHARLE_4,"I guess... let me mark their lair on the map."
AFFAMAE_HINT_CHARLE_5,"Don't die down there, Echo. The world needs blobs like us."
AFFAMAE_NO_HINT_1,"I appreciate the meal, but I've no more help to give."
AFFAMAE_NO_HINT_2,"Perhaps we can just... chat? One fat beast to another?"


EDGAR_TITLE,"EDGAR\nThe Mongoose Monarch"
EDGAR_PRE_FIGHT_1,"Temperature up 8 degrees, magma production is booming, ice cream 20% tastier..."
EDGAR_PRE_FIGHT_2,"That old magpie was right, this Draconic Energy has made me the greatest king ever!"
EDGAR_PRE_FIGHT_3,"I'm so much better at this than Ch-"
EDGAR_PRE_FIGHT_4,"OH MY GOD YOUR REAL??"


KARA_INTRO_1,"Oh, uh...\n\nHi..."
KARA_INTRO_2,"My name's Kara...\n\nI'm not supposed to be here..."
KARA_INTRO_3,"Uh...\n\nYou know about Portals?"
KARA_INTRO_4,"They're hard to get working. you need a Portal Core, and also an Injector for it."
KARA_INTRO_5,"Here, you can have mine. I'm not going anywhere soon."
KARA_INTRO_6,"There's a Portal and a Core down beneath us, if you want to try it out."
KARA_INTRO_7,"I, uh, hope you enjoy..."

KARA_RANDOM_1_1,"I hope it's okay if I stay in your world a bit. I like it here."
KARA_RANDOM_1_2,"The cold wind from the trees with the hot air of the caves..."
KARA_RANDOM_1_3,"It beats the snowy woods I grew up in, that's for sure."
KARA_RANDOM_2_1,"I didn't think this world would be so big."
KARA_RANDOM_2_2,"I don't mean fat, I knew it would be very fat, just..."
KARA_RANDOM_2_3,"I was expecting a short diversion, but this wound up being so much more."
KARA_RANDOM_2_4,"I can't say i'm upset. I'm enjoying myself."
KARA_RANDOM_3_1,"Do you like these flowers? I brought them with me here."
KARA_RANDOM_3_2,"They're a kind of nightshade. I call them ""Toxen Flowers."""
KARA_RANDOM_3_3,"They can be deadly, but if nurtured well, they can be truly beautiful."
KARA_RANDOM_3_4,"Maybe someday I can show you more of them."
KARA_RANDOM_4_1,"Have i been repeating myself? If so, I'm sorry."
KARA_RANDOM_4_1,"I tend to forget who I've discussed what with, and I only have so much to say..."

KARA_RESIZE_1,"What's that? You can't fit in the portals anymore?"
KARA_RESIZE_2,"I sized them to the biggest guy I knew, but it looks like you need them bigger..."
KARA_RESIZE_3,"Here, let me see your Injector real quick."
KARA_RESIZE_4,"With this, all portals should now fit you through."
KARA_RESIZE_5,"Just, don't grow too much more, if you can help it..."
KARA_RESIZE_6,"(Holy shit she got FAT)"

KARA_PLUME_HINT_1,"Y'know, I saw someone I thought was you earlier today."
KARA_PLUME_HINT_2,"She was somehow even fatter, which... how?"
KARA_PLUME_HINT_3,"She looked happy, but also scared of getting caught. Caught with what, I don't know."
KARA_PLUME_HINT_4,"She flew up the mountain. Which didn't seem physically possible..."
KARA_PLUME_HINT_5,"She might be a fan. Maybe you should check her out?"


KARA_COMIC_CER_1,"You flip to a comic. Two doglike creatures slowly gain weight after moving to separate places."
KARA_COMIC_CER_2,"One of them seems to be leaning into it, while the other seems to be in denial."
KARA_COMIC_TOXEN_1,"You find a bunch of sketches of a fat purple creature in various poses."
KARA_COMIC_TOXEN_2,"Surrounding the sketches are pictures of flowers and monsters."
KARA_COMIC_ECHO_1,"You flip to a sketch of... Echo? The sketch shows her at a variety of sizes."
KARA_COMIC_ECHO_2,"You decide to stop looking."
KARA_COMIC,"It's a sketch book. Take a peek?"

PORTAL_UNKNOWN,"A wisp of air moves erratically..."
PORTAL_NO_INJECTOR_1,"A wisp of air moves erratically."
PORTAL_NO_INJECTOR_2,"The Portal Core seems drawn to it, but it can't fit in the gap..."
PORTAL_INTRO,"A wisp of air moves erratically. A Portal is present."
PORTAL_NO_CORE,"If you find a Portal Core, you can slip inside."
PORTAL_INJECT_CORE,"Do you want to inject a Portal Core?"
PORTAL_OPEN,"The Portal sprang open!"
PORTAL_STAY_HERE,"You decided to stay here."
PORTAL_TOO_FAT_1,"You tried to squeeze into the portal... but you're too fat!"
PORTAL_TOO_FAT_2,"Maybe Kara can help widen the portals...?"
PORTAL_POST_OPEN,"It's a Portal.\n\nWhere will you go?"
PORTAL_OPT_STAY_HERE,"Stay Here"


SONIA_TITLE,"SONIA\nChief Excavation Officer"
SONIA_TAUNT_EARLY,"Well, someone's a bit early~`"
SONIA_TAUNT_NORMAL,"Figures you'd get Edgar first~`"
SONIA_TAUNT_LATE,"...Well SOMEONE took their sweet time~`"
SONIA_TAUNT_2,"I take it introductions aren't necessary. Let's talk, one ~LEGEND~ to another."
SONIA_TAUNT_3,"Do I have your powers? Yes. 
SONIA_TAUNT_4,"What's that look for??
SONIA_TAUNT_5,"I know you might be mad at me for that. Your feedback has been recieved."
SONIA_TAUNT_6,"But have you considered, maybe you just weren't good enough to have them?"
SONIA_TAUNT_7,"What about the age-old tradition, ""finders keepers losers weepers?"""
SONIA_TAUNT_8,"What about the immense POWER I now hold over you?!?!`"
SONIA_TAUNT_9,"Haha, okay, I think you get it. Goodbye, have fun dying! ~`"

SONIA_PRE_FIGHT_1,"Haha wow, back already? I didn't know you were such a fan~`"
SONIA_PRE_FIGHT_2,"Honestly, I think it's kinda cute that you want to fight me so bad."
SONIA_PRE_FIGHT_3,"It's cute how, despite these plants breaking MY tower, you think you're the victim here."
SONIA_PRE_FIGHT_4,"Most of all, it's cute how you think you stand any chance at all.`"
SONIA_PRE_FIGHT_5,"Hehehe, it'll be so rewarding to take the last of your power for GOOD``"
SONIA_POST_FIGHT_1,"Heh."
SONIA_POST_FIGHT_2,"Hahahaha."
SONIA_POST_FIGHT_3,"AHAHAHAHAHA!!!!!!!"
SONIA_POST_FIGHT_4,"You thought you BEAT ME? You thought you WON?!?`"
SONIA_POST_FIGHT_5,"Don't you SEE?! I can just BURROW forever! GOOD LUCK GETTING ME HERE, BOZO!!"
SONIA_POST_FIGHT_6,"wait whats that"
SONIA_POST_FIGHT_7,"(Somewhere, from above, or maybe below? A voice echoes...)"
# This line is spoken by the Big Green plant, not Sonia
SONIA_POST_FIGHT_8,"Hm? Echo, are you there? Sorry if I'm late, I didn't realize you were fighting."
SONIA_POST_FIGHT_9,"I caught her digging around a lot. I hope I helped."

BIG_BLUE_PRE_FIGHT_1,"Hm? Is somebody there?"
BIG_BLUE_PRE_FIGHT_2,"Oh, a dragon. Hello."
BIG_BLUE_PRE_FIGHT_3,"I've felt your presence for some time. You are a friend."
BIG_BLUE_PRE_FIGHT_4,"You appear to be stuck as well. Let me lend you a hand."
BIG_BLUE_PRE_FIGHT_5,"The mole wants to destroy our home. Sonia is her name."
BIG_BLUE_PRE_FIGHT_6,"She digs the caverns bare, all for worthless pyrite."
BIG_BLUE_PRE_FIGHT_7,"If you are able, please stop her."
BIG_BLUE_POST_FIGHT_1,"Hm? Who is there?"
BIG_BLUE_POST_FIGHT_2,"Dragon? Oh, welcome. I didn't recall you being so... large."
BIG_BLUE_POST_FIGHT_3,"You defeated Sonia? Amazing! Though, I hardly think eating her was needed."
BIG_BLUE_POST_FIGHT_4,"Hm? You gained weight for other reasons? Ah well."
BIG_BLUE_POST_FIGHT_5,"If Sonia is gone, then I do hope that handsome wolf with the hammer takes charge."
BIG_BLUE_POST_FIGHT_6,"He seems the most responsible. He understands the power of a proper curse."

BIG_GREEN_PRE_FIGHT_1,"Oh? Hello, little dragon."
BIG_GREEN_PRE_FIGHT_2,"I do wish we could meet under happier circumstances, but I am glad to meet regardless."
BIG_GREEN_PRE_FIGHT_3,"This cavern used to be an underground forest, but that horrid mole has been digging up our roots."
BIG_GREEN_PRE_FIGHT_4,"Were it not for her, we would be in a golden age!"
BIG_GREEN_PRE_FIGHT_5,"...Hm? You are chasing the same mole as well? She stole your powers?"
BIG_GREEN_PRE_FIGHT_6,"Well, if our interests align, perhaps I can lend you what energy I have left."
BIG_GREEN_PRE_FIGHT_7,"Our flowers grant flight to those who touch them."
BIG_GREEN_PRE_FIGHT_8,"Their powers are weakened, and your mass may also prove an issue, but they may still help."
BIG_GREEN_PRE_FIGHT_9,"The mole's hideout is atop this tower. If you wish to reach it, you will need more help."
BIG_GREEN_PRE_FIGHT_10,"Seek out my sisters, red and blue in hue, deeper in these caverns. They can help more."
BIG_GREEN_PRE_FIGHT_11,"Thank you, kind dragon."
BIG_GREEN_POST_FIGHT_1,"My apologies again for missing the fight. I hadn't realized the others were there."
BIG_GREEN_POST_FIGHT_2,"I'm glad I could've helped out in the end, at least."
BIG_GREEN_POST_FIGHT_3,"And you must admit, my contribution was... how you say, ""bad of ass?"""
BIG_GREEN_POST_FIGHT_4,"I did kind-of save the day at the last second with that one, you must admit."
BIG_GREEN_POST_FIGHT_5,"Of course, I should thank you, too! My roots are safe now. And I found more, too!"
BIG_GREEN_POST_FIGHT_6,"Like this rectangle I found in Sonia's pocket. I'm told it's called a ""crebit card."" Exciting!"

BIG_RED_PRE_FIGHT_1,"Oh thank Gaia, someone to TALK TO!"
BIG_RED_PRE_FIGHT_2,"Look, don't question the life decisions that got me stuck down here, just know I regret them."
BIG_RED_PRE_FIGHT_3,"I was trying to get away from this dumb mole that was destroying my roots, and now I'm here."
BIG_RED_PRE_FIGHT_4,"I hate it here! It's too dry and I don't like seafood! ...But it does beat dying."
BIG_RED_PRE_FIGHT_5,"Huh? You're trying to stop that same mole?"
BIG_RED_PRE_FIGHT_6,"Hell yeah, cheers!"
BIG_RED_PRE_FIGHT_7,"Hey, come let me know when you've kicked her ass, okay?"
BIG_RED_PRE_FIGHT_8,"Bring someone who can help dig me out, too. But someone who won't give me a hard time about it."
BIG_RED_PRE_FIGHT_9,"Oh!! Snacks too! There is NOBODY down here to eat!"
BIG_RED_POST_FIGHT_1,"Whoa hey, you did it?!"
BIG_RED_POST_FIGHT_2,"That's great news! I can finally leave this dumb hole and rejoin my sisters!"
BIG_RED_POST_FIGHT_3,"...You did remember to find someone to help out right"
BIG_RED_POST_FIGHT_4,"Eh, at least I got SOME of the food situation figured out. Some crabs like wandering down here."
BIG_RED_POST_FIGHT_5,"It's not much, but...\n\nOkay I can't front get me out of here asap"

# Keep the %d and the $0.00%03d, those get replaced with the pyrite the player has
MINE_WORM_1,"You must be a new miner, eh? Lucky for you, we've struck riches!"
MINE_WORM_2,"'Course, I can't mine it up myself, having no arms."
MINE_WORM_3,"Looks like the treasure is all yours, friend!"
MINE_WORM_R_1,"Oho! Looks like you've got something!"
MINE_WORM_R_2,"You have %d pyrite chunks? That translates to about... $0.00%03d Craterian dollars!"
MINE_WORM_R_3,"A hard day's work really does pay off, doesn't it?"
MINE_WORM_FULL_1,"What's that? You can't hold more than 500 chunks of Pyrite?"
MINE_WORM_FULL_2,"That's a shame. I was gonna sell my really cool hat for 750!"


SWORD_SPIRIT_INTRO_1,"Oh, joyous day, joyous day! A new Hero has arisen!"
SWORD_SPIRIT_INTRO_2,"Greetings, my corpulent savior! I am the ~Spirit of the Sword~!"
SWORD_SPIRIT_INTRO_3,"I am here to guide you through your quest to-"
SWORD_SPIRIT_INTRO_4,"Wait where's the sword"
SWORD_SPIRIT_INTRO_5,"Y-you broke it."
SWORD_SPIRIT_INTRO_6,"YOU SAT ON THE STONE OF THE SWORD AND BROKE IT."
SWORD_SPIRIT_INTRO_7,"YOU ABSOLUTE FATAAAaantastic Hero of Legend! JOYOUS day INDEED!"
SWORD_SPIRIT_INTRO_8,"I didn't think a fat ass could break my entire afterlife's PURPOSE, but WHAT DO I KNOW!"
SWORD_SPIRIT_INTRO_9,"...\nExcuse me, I need to collect my thoughts. And my SWORD."

SWORD_SPIRIT_FIRST_CHAT_1,"HHHHHHH-Hello, my Hefty Hero of Legend! It's me, the Spirit of the Sword!"
SWORD_SPIRIT_FIRST_CHAT_2,"I must say, the power of your weight is impressive! You broke the sword clean in half!"
SWORD_SPIRIT_FIRST_CHAT_3,"That's cool. I'm really okay with that. No really, it's fine. Really."
SWORD_SPIRIT_FIRST_CHAT_4,"Aaaaanyways, in its current state, the sword is kinda useless. But I have an idea."
SWORD_SPIRIT_FIRST_CHAT_5,"I'll let you take one half on your quest, and I'll keep the other half safe!"
SWORD_SPIRIT_FIRST_CHAT_6,"(After all, you never know when some fatass will just crush swords nowadays...)"
SWORD_SPIRIT_FIRST_CHAT_7,"Then if you ever change your mind, you can come back and swap them!"
SWORD_SPIRIT_FIRST_CHAT_8,"If you take the blade half, you can... I dunno, cut enemies with it, deal some more damage?"
SWORD_SPIRIT_FIRST_CHAT_9,"The hilt will... give you more range or something, maybe?"
SWORD_SPIRIT_FIRST_CHAT_10,"Honestly I don't care at this point. Just take one."
SWORD_SPIRIT_OPT_BLADE,"Blade"
SWORD_SPIRIT_OPT_HILT,"Hilt"
SWORD_SPIRIT_FIRST_CHAT_11,"A great choice, probably! Be sure not to sit on it this time."

SWORD_SPIRIT_R_1,"Hello again, Hero of Legend! You're looking... well fed!"
SWORD_SPIRIT_R_2,"Did you want to swap your sword piece?"
SWORD_SPIRIT_OPT_SWAP_BLADE,"I want the blade"
SWORD_SPIRIT_OPT_SWAP_HILT,"I want the hilt"
SWORD_SPIRIT_R_NO,"N-no?! What,  were you just wanting to chat or something??"
SWORD_SPIRIT_R_NO_NO,"Then why did you come here??"
